image_name,1,2,3,4,5,6,7,8,9,10,11,12
GWZ8_I2.0_F1.9_L80_201554_0_1_6_rgb.jpg,NC,C,M,NC,NC,NC,NC,C,NC,C,NC,NC
GWZ8_I2.0_F1.9_L80_201213_3_1_5_rgb.jpg,NC,NC,NC,NC,C,C,C,NC,NC,C,C,NC
GWZ8_I2.0_F1.9_L80_201936_0_1_4_rgb.jpg,NC,NC,NC,C,C,C,C,NC,C,NC,NC,NC
